user	date	lon	lat	geoprivacy
Benoît Prieur	2012-02-15	4.9395	45.81666667	open
Benoît Prieur	2012-02-15	4.93883333	45.81716667	open
Benoît Prieur	2012-02-15	4.939	45.81666667	open
Benoît Prieur	2012-02-15	4.9325	45.815	open
Benoît Prieur	2012-02-15	4.9395	45.81666667	open
Benoît Prieur	2012-02-15	4.93166667	45.81383333	open
Benoît Prieur	2012-02-16	4.988426	45.824186	open
Benoît Prieur	2012-02-18	5.0005	45.83533333	open
Benoît Prieur	2012-02-18	5.0005	45.83533333	open
Benoît Prieur	2012-02-18	4.99016667	45.82133333	open
Benoît Prieur	2012-02-18	5.0115	45.83716667	open
Benoît Prieur	2012-02-17	4.82466667	45.7475	open
Benoît Prieur	2012-02-16	4.8325	45.77	open
Benoît Prieur	2012-02-18	4.97683333	45.83033333	open
Benoît Prieur	2012-02-18	4.97633333	45.8305	open
Benoît Prieur	2012-02-20	4.95383333	45.82466667	open
Benoît Prieur	2012-02-20	4.95433333	45.8225	open
Benoît Prieur	2012-02-24	4.97466667	45.83266667	open
Benoît Prieur	2012-02-24	4.97466667	45.83283333	open
Benoît Prieur	2012-02-24	4.9745	45.83266667	open
Benoît Prieur	2012-02-28	4.94566667	45.81933333	open
Benoît Prieur	2012-02-28	4.95816667	45.82216667	open
Benoît Prieur	2012-02-28	4.95816667	45.82216667	open
Benoît Prieur	2012-02-28	4.98783333	45.81983333	open
Benoît Prieur	2012-02-29	4.90783333	45.81916667	open
Benoît Prieur	2012-02-29	4.909	45.81933333	open
Benoît Prieur	2012-02-29	4.92633333	45.81983333	open
Benoît Prieur	2012-02-29	4.92633333	45.81983333	open
Benoît Prieur	Années 1930.	4.981012	45.826751	open
Benoît Prieur	2012-03-01	4.981	45.82683333	open
Benoît Prieur	2012-03-01	4.97966667	45.82766667	open
Benoît Prieur	2012-03-01	4.953	45.82266667	open
Benoît Prieur	2012-03-01	4.98366667	45.8345	open
Benoît Prieur	2012-03-01	4.98366667	45.83433333	open
Benoît Prieur	2012-03-01	4.98866667	45.83683333	open
Benoît Prieur	2012-03-01	5.00216667	45.84	open
Benoît Prieur	2012-03-01	5.00216667	45.84	open
Benoît Prieur	2012-03-01	5.00933333	45.83133333	open
Benoît Prieur	2012-03-01	5.00716667	45.834	open
Benoît Prieur	2012-03-01	5.00933333	45.83133333	open
Benoît Prieur	2012-03-01	5.00733333	45.834	open
Benoît Prieur	2012-03-01	4.99433333	45.82183333	open
Benoît Prieur	2012-03-01	5.01066667	45.82866667	open
Benoît Prieur	2012-03-01	5.01066667	45.82866667	open
Benoît Prieur	2012-03-01	4.99433333	45.82183333	open
Benoît Prieur	2012-03-01	4.95683333	45.823	open
Benoît Prieur	2012-03-01	4.954	45.82233333	open
Benoît Prieur	2012-03-01	4.954	45.82233333	open
Benoît Prieur	2012-03-01	4.95316667	45.82233333	open
Benoît Prieur	2012-03-01	4.95316667	45.82233333	open
Benoît Prieur	2012-03-01	4.953	45.82266667	open
Benoît Prieur	2012-03-01	4.98883333	45.83683333	open
Benoît Prieur	2012-03-01	4.957	45.823	open
Benoît Prieur	2012-03-01	5.00216667	45.84016667	open
Benoît Prieur	Années 1910 ?	4.946954	45.830048	open
Benoît Prieur	2012-03-02	5.01933333	45.81833333	open
Benoît Prieur	2012-03-02	5.01583333	45.82333333	open
Benoît Prieur	2012-03-02	5.01583333	45.82333333	open
Benoît Prieur	2012-03-02	5.01933333	45.81833333	open
